"Hash","FilePath"
"2B920DCEDB85453F619C599083046B6DE8670886AB2D13593771DFADCCEBBEB2","C:\Windows\System32\drivers\flpydisk.sys"
"212C77FE83780D9AC73B54AC043DB0AE7E5CA6DC331F971FA373E9A274F44D4A","C:\Windows\System32\drivers\fltMgr.sys"
"799C95DEC78122055300086193767662A6798B537E21AB2E7B9860BE1E252EA3","C:\Windows\System32\drivers\fs_rec.sys"
"561E096A019E7193D987F98B9EA3CB4BFEC6D28DE6BE54A445B1FF53151D0A5A","C:\Windows\System32\drivers\fsdepends.sys"
"5ADC1C5EA10B04A8CB44C338DC9F7481654231A4E1F7FB0CDFA230FA63D5686B","C:\Windows\System32\drivers\fse.sys"
"559FFA02D630EE1F94CF524A4AD02DE6195E5B8F580200E615048646151A45DF","C:\Windows\System32\drivers\fvevol.sys"
"841F8FDB54CC13F57279E793C2E08520E7A8603D5D9CC129AF021B8CA1B06D35","C:\Windows\System32\drivers\FWPKCLNT.SYS"
"7D1671A102CD9F9AEDA2BF4AF59DEDEB3D949F40420FCBF12A7D58F3EAF32CFE","C:\Windows\System32\drivers\globmerger.sys"
"9DEC53E8712A81EB8F40D8D21136FF4B2548E771455FDB04E1A489B9E125BE4F","C:\Windows\System32\drivers\hcmon.sys"
"10D709583E265306C15EC044F75F750352C942E6606C421D0471CD149F2944F2","C:\Windows\System32\drivers\hdaudbus.sys"
"CF38532E518317A1935EA1E49CC1A23E8351AE098A00B83A4F289C6E49C64311","C:\Windows\System32\drivers\HdAudio.sys"
"23FC4EAD8368F57CF40993491F3FE7E48D2866870EEFDCE923F78BA387830E45","C:\Windows\System32\drivers\hidbatt.sys"
"497B1AC6244FC485162E43C4B6A41D9B3DB193BBDCAEBCD66452E443AE9003E8","C:\Windows\System32\drivers\hidbth.sys"
"5DC3622DD5DC38330E3426F0765046D99ED106A7A3135CAE0F3CFE07F66656C0","C:\Windows\System32\drivers\hidclass.sys"
"879D49008F2471F5A763278EDA7BBA4BA451064FBE1EA6377E14A1223D04E74B","C:\Windows\System32\drivers\hidi2c.sys"
"61C59A8CF497947A22B584762877A6CE4CF8C9A553AD404649501A5FF61995A5","C:\Windows\System32\drivers\hidinterrupt.sys"
"967EDDA02EA047BF5F6689787FD7E74BFC16435EC5DD2C1C8E8F6C6EADD5DADE","C:\Windows\System32\drivers\hidir.sys"
"2447EECF1BB13A91AA73D35688158CBD8470A7C3D2C431708EF8F526CB77232C","C:\Windows\System32\drivers\hidparse.sys"
"AB05CCA0F1E22DCC7125490B7D7D1FA8FC7048070B77D6A2F5F307317CB4746C","C:\Windows\System32\drivers\hidspi.sys"
"23DF1B30D74962E7245AC80DD08987DF65A1E7F50D3036B51B4A93D34AB32153","C:\Windows\System32\drivers\HidSpiCx.sys"
"AC7896373294BD7FBC4535C7B66AED1B8A379ED5C5AAFE27F8A5DA5C62D6128A","C:\Windows\System32\drivers\hidusb.sys"
"7D8C29641E4771FB748CF80B2646C3B453FAFCB47850BF2D645CAAA76E7833ED","C:\Windows\System32\drivers\hnswfpdriver.sys"
"A1DE9A347D9964BD050CC644F213E09720106D7457482E04A965AE7B51A22554","C:\Windows\System32\drivers\HpSAMD.sys"
"F7C91B6C8B9B3599EC986CA58F93CCDA5D7D893CB633D9C18EE932F03B900BD9","C:\Windows\System32\drivers\Hsp.sys"
"1A34D70A649F461745C782F1F27BCEA6F6603AAFD59842B3ED412181AC5C2C9A","C:\Windows\System32\drivers\http.sys"
